Title: 用于对纸张，卷筒纸或其他物品的表面进行与印刷有关的处理的装置（清理一般入 B08B；金属的清理入C23G；作为该物品加工的最后工序，参阅相应小类，如 B29C71/00，D21H23/00或D21H25/00；印刷的后处理入B41M7/00）

Code: B41L23/00

========================================

B41L23/02 用润湿法，如用与胶版印刷有关的单张拷贝纸的润湿法

B41L23/04 使用摩擦辊

B41L23/06 使用刷子

B41L23/08 使用喷雾元件

B41L23/10 使用循环带

B41L23/12 使用吸收性的衬垫

B41L23/14 墨斗，容器或类似的供应液体的装置

B41L23/16 用于停止或抬起润湿辊的装置；其支撑、调节或移动装置

B41L23/18 润湿辊的结构

B41L23/20 用加热干燥法、冷却法、喷粉法

B41L23/22 喷粉装置，如用于防止粘脏

B41L23/24 印刷品装饰装置，如用于印刷物上光

