Title: 含有基的偶氮染料

Code: C09B44/00

========================================

C09B44/02 含有不直接连接到偶氮基上的铵基

C09B44/04 由含有氨基作为仅有的定向基的偶合组分

C09B44/06 由含有羟基作为仅有的定向基的偶合组分

C09B44/08 由含有杂环的偶合组分

C09B44/10 含有由环系的1个碳原子连接到1个偶氮基上的环铵基

C09B44/12 具有1个氮原子作为仅有的环杂原了

C09B44/14 1，2-二唑或氢化1，2-二唑

C09B44/16 1，3-二唑或氢化1，3-二唑

C09B44/18 具有3个氮原子作为仅有的杂环原子

C09B44/20 噻唑或氢化噻唑

