Title: 二芳基或三芳基甲烷染料

Code: C09B11/00

========================================

C09B11/02 由二芳基甲烷得到的

C09B11/04 由三芳基甲烷得到的

C09B11/06 三芳基甲烷的羟基衍生物，其中至少有1个羟基连接在芳族环上

C09B11/08 酞类

C09B11/10 三芳基甲烷的氨基衍生物

C09B11/12 没有羟基（-OH）与芳族环连接

C09B11/14 由芳族醛、芳族羧酸或其衍生物，及芳族胺制备

C09B11/16 由二芳基酮或二芳基甲醇制备

C09B11/18 用氧化作用制备

C09B11/20 由其他三芳基甲烷衍生物制备

C09B11/22 含有连接到1个芳族环上的羟基（-OH）

C09B11/24 含有氨基的酞

C09B11/26 三芳基甲烷染料，其中至少有1个芳族环是杂环

C09B11/28 二苯氧杂芑胺类

