Title: 通过水射流的船舶推进

Code: B63H11/00

========================================

B63H11/01 有防止杂物堵塞流体通道的装置

B63H11/02 推进介质是周围的水

B63H11/04 用泵的

B63H11/06 往复式的

B63H11/08 旋转式的

B63H11/09 用压力脉冲施加在液柱上，例如通过点燃空气/燃气或蒸气混合气

B63H11/10 有用于偏转喷射或影响其截面的装置

B63H11/103 有提高推进流体效率的装置，例如排水管装有提高流量的装置

B63H11/107 推进流体的方向控制装置

B63H11/11 有吊斗或抓斗式换向装置的

B63H11/113 装在枢轴上的排水口

B63H11/117 装在枢轴上的叶片

B63H11/12 推进介质是蒸气或其他气体

B63H11/14 气体是燃烧产生的

B63H11/16 气体是其他化学过程产生的

