Title: 用肌体力的船舶推进

Code: B63H16/00

========================================

B63H16/02 可移动的座板；搁脚板

B63H16/04 桨；橹；桨叶；撑篙

B63H16/06 桨架；及其所用的支座

B63H16/067 桨架装在伸出在船只舷边外的结构上

B63H16/073 有橹柄限制装置的

B63H16/08 其他将肌体力转换为推进力的装置

B63H16/10 用于面向船首划船的

B63H16/16 使用往复运动牵引缆索的，即一个绞合线状构件可向前向后作交替移动的

B63H16/18 使用滑动手柄或踏板的，即动力是由使用者的手或脚操纵杠杆传递至推进装置的

B63H16/20 使用旋转曲柄臂的

