Title: 流体分配阀（专门适用于浮质容器的入B65D83/44；用于液体输送入B67D；用于厕所或 类似场所的冲洗装置入E03D）

Code: F16K21/00

========================================

F16K21/02 提供连续小流量

F16K21/04 自闭阀，即在操作后自动闭合

F16K21/06 其中闭合运动，不论延迟与否，在开启后立即开始

F16K21/08 带有球状闭合元件

F16K21/10 带有作用于闭合元件上的液压制动缸

F16K21/12 带有液压操作的开启装置；带有开启前卸压的装置

F16K21/14 带有用于防止自闭的特殊装置

F16K21/16 在输送预定量的流体后闭合（F16K21/10优先）

F16K21/18 在上升的液体达到预定液位时闭合（由浮子控制的阀入F16K31/18）

F16K21/20 通过一个由上升液体闭合的开口利用空气吸入的装置

