Title: 隔膜切断装置，如用元件变形来闭合通道，而元件不整个移动（靠挠性壁变形操作的容 器闸门或封口件入B65D90/56；塞住管子或软管的装置入F16L55/10）

Code: F16K7/00

========================================

F16K7/02 带有管状隔膜

F16K7/04 可用外径向力压缩

F16K7/06 用螺旋轴、凸轮或其他机械装置

F16K7/07 用流体压力

F16K7/08 可用扭曲压缩

F16K7/10 带有充气元件

F16K7/12 带有平的、盘形的或球形隔膜

F16K7/14 变形时顶向平阀座

F16K7/16 隔膜是机械操纵的，如用螺旋轴或凸轮

F16K7/17 隔膜是流体压力操纵的

F16K7/18 隔膜只在一侧固定，如靠滚动作用放置在阀座上

F16K7/20 带有可压缩的固体闭合元件

