Title: 单向阀（专门适用于充气球的阀入A63B41/00）

Code: F16K15/00

========================================

F16K15/02 带有导向的刚性阀元件

F16K15/03 带有铰接闭合元件

F16K15/04 形状如滚珠

F16K15/06 带有导杆

F16K15/08 形状如环

F16K15/10 与普通阀板成一整体或与普通阀板成固定连接

F16K15/12 用于环形阀的弹簧

F16K15/14 带有挠性阀元件

F16K15/16 带有舌形薄层片

F16K15/18 带有操纵机构；组合单向阀和操作阀

F16K15/20 专为充气体设计的，如轮胎（阀与充气弹性体连接入B60C29/00）

