Title: 只包含切断装置的龙头或旋塞，切断装置至少有一个密封面的形状近于旋转实体的完整 表面，启闭运动主要是旋转运动（提升阀型的龙头入F16K1/00）

Code: F16K5/00

========================================

F16K5/02 带有锥形表面的塞子；其所用填料

F16K5/04 带有圆柱形表面的塞子；其所用填料

F16K5/06 带有球形表面的塞子；其所用填料

F16K5/08 零件

F16K5/10 流量的附加调整装置

F16K5/12 变更通路的装置，在阀动作时，改变通路中的流量

F16K5/14 把密封面分开或压在一起的特殊装置

F16K5/16 用于有锥形表面的塞子

F16K5/18 用于有圆柱形表面的塞子

F16K5/20 用于有球形表面的塞子

F16K5/22 关于润滑的器件

