Title: 冲击式钻进

Code: E21B1/00

========================================

E21B1/02 用于落锤的地面驱动装置，例如，使用一个钢丝绳

E21B1/04 在地面使钻杆或绳索反向运动的装置

E21B1/12 采用一个往复式冲击件（E21B1/02，E21B1/38优先）

E21B1/14 由一个旋转机构来驱动

E21B1/16 带有弹簧并作往复运动的物体，例如，通过气垫

E21B1/18 通过双重缓冲弹簧把驱动装置弹性地连接到一个顶杆上

E21B1/20 由离心式锤构成

E21B1/22 由电磁驱动的

E21B1/24 冲击件是一个直接由流体压力驱动的活塞

E21B1/26 通过液体压力

E21B1/28 使用脉冲压力的

E21B1/30 通过空气、蒸汽或者气体压力

E21B1/32 使用脉冲压力的

E21B1/34 冲击件是内燃机的一个活塞

E21B1/36 携带工具的活塞式的，即其中的工具可以连接到冲击件上

E21B1/38 锤击活塞式的，即其中的工具钻头或砧由一个冲击件来撞击

