Title: 具有许多相互绝缘电连接元件的结构联接，例如：端接条或端接盒；安装在底座上或外 壳中的连接端子或接线柱；所使用底座

Code: H01R9/00

========================================

H01R9/03 与多芯电缆的多个导体相接触的连接器

H01R9/05 用于同轴电缆的

H01R9/053 使用穿透绝缘接触部件的

H01R9/11 由电缆支持的并便于与其他导电部件相连的多芯电缆的端接片

H01R9/15 用于缠绕导线的连接器

H01R9/16 连接部件与底板或外壳的固定；连接部件与底板或外壳的绝缘

H01R9/18 用螺栓或螺母固定

H01R9/20 用铆钉或线卡环固定

H01R9/22 底座，例如带、盒、板

H01R9/24 端接盒

H01R9/26 并排轨条式安装或带状安装用的由夹子夹紧的端接盒

H01R9/28 端接板

