Title: 为了连接产品或部件的程序的应用，如不同于镀敷的金属板的包覆（铆接入B21J； 用锻造或压制方式将零件组装成组合件入B21K25/00）；扩管器

Code: B21D39/00

========================================

B21D39/02 叠合金属板的，如连接金属板边缘形成圆筒

B21D39/03 非叠合金属板的

B21D39/04 管与管的；管与棒的

B21D39/06 开口管的；如卷入

B21D39/08 扩管器

B21D39/10 带仅用于扩管滚子的

B21D39/12 带用于扩管及折边滚子的

B21D39/14 带球的

B21D39/16 带扭矩限制装置

B21D39/18 特殊形状的滚子

B21D39/20 带心轴，如可胀的

