Title: 使用心轴或类似的弯管（B21D11/02至B21D11/18优先）

Code: B21D9/00

========================================

B21D9/01 可挠曲并与全部管长接触的心轴

B21D9/03 并且由散开元件组成，如成列的球

B21D9/04 刚性心轴

B21D9/05 与成型元件协同操作

B21D9/07 有一个或多个仅与管端衔接的摆动成型元件

B21D9/08 在压弯机中或压头与砧或支座之间；带成型模的钳

B21D9/10 用在辊间通过的方式

B21D9/12 用推过曲线形心轴的方式；通过曲线模推进

B21D9/14 皱曲，即起皱的弯曲

B21D9/15 充填不定形材料，如砂、塑性材料

B21D9/16 辅助设备，如用于向管中充填砂子的机器

B21D9/18 用于弯曲的加热或冷却

