Title: 挤出成型，即挤出成型材料通过模子或喷嘴，模子或喷嘴给出要求的形状；所用的 设备（挤出吹塑法入B29C49/04）

Code: B29C48/00
B29C48/693 安装在挤出机螺杆端部垂直于进料轴向的基本上是平坦的过滤器

B29C48/694 圆柱形或圆锥形过滤器

B29C48/695 流量分配器，如打击板

B29C48/70 包括用于熔融流体的分流、分配和合流的装置

B29C48/71 倍增的层（多组分制品的挤出入B29C 48/16）

B29C48/72 反馈装置，即部分熔融材料被反馈到挤出机的上游阶段

B29C48/74 旁路装置，即部分熔融材料被转移到挤出机的下游阶段

B29C48/76 排气装置：除气装置

B29C48/78 挤压成型材料或预制件或层的热处理，如通过加热或冷却

B29C48/79 预制件或层的

B29C48/793 在塑化带的上游，如在料斗中加热

B29C48/797 冷却

B29C48/80 在塑化区，如通过加热螺筒

B29C48/82 冷却( B29C 48/84 t优先)

B29C48/84 通过加热或冷却进料杆（中空螺杆入B29C 48/515）

B29C48/85 冷却

B29C48/86 在喷嘴区

B29C48/87 冷却

B29C48/875 为了达到不均匀的温度分布，如使用既有冷却又有加热区的通

B29C48/88 被挤出材料流体的热处理，如冷却

B29C48/885 外部热处理，如通过利用空气环来冷却管膜

B29C48/89 内部热处理，如通过应用内部冷却流体

B29C48/90 有校准或精整的，即挤出产品的最终尺寸的固定或设置的结合

B29C48/91 加热，如交联

B29C48/92 测量、控制或调节

B29C48/94 润滑

B29C48/95 通过在成型材料中添加润滑剂

B29C48/96 安全装置

