Title: 用拉伸成型，如通过模子拉延；所用的设备（B29C61/08优先）

Code: B29C55/00

========================================

B29C55/02 板材或片材的

B29C55/04 单轴的，如斜轴的

B29C55/06 与送进方向平行

B29C55/08 垂直于送进方向

B29C55/10 多轴的

B29C55/12 双轴的

B29C55/14 依次地

B29C55/16 同时地

B29C55/18 靠在表面之间挤压，如在辊之间

B29C55/20 边缘夹钳

B29C55/22 管子的

B29C55/24 径向的

B29C55/26 双轴的

B29C55/28 吹制环形薄膜的，如充气

B29C55/30 通过模子拉延

