Title: 具有1个或更多的不饱和脂族基化合物的均聚物或共聚物的组合物，每个不饱和脂族基只 有1个碳-碳双键，并且至少有1个是以芳族碳环为终端；此种聚合物衍生物的组合物

Code: C08L25/00

========================================

C08L25/02 烃的均聚物或共聚物

C08L25/04 苯乙烯的均聚物或共聚物

C08L25/06 聚苯乙烯

C08L25/08 苯乙烯的共聚物（C08L29/08、C08L35/06、C08L55/02优先）

C08L25/10 与共轭二烯

C08L25/12 与不饱和腈

C08L25/14 与不饱的酯

C08L25/16 烷基取代苯乙烯的均聚物或共聚物

C08L25/18 含有碳、氢以外元素的芳族单体的均聚物或共聚物

