Title: 具有1个或更多的不饱和脂族基化合物的均聚物或共聚物的组合物，每个不饱和脂族基只 有1个碳-碳双键，并且至少有1个是以卤素为终端；此种聚合物衍生物的组合物

Code: C08L27/00

========================================

C08L27/02 未用化学后处理改性的

C08L27/04 含氯原子

C08L27/06 氯乙烯的均聚物或共聚物

C08L27/08 偏二氯乙烯的均聚物或共聚物

C08L27/10 含溴或含磺原子

C08L27/12 含氟原子

C08L27/14 氟乙烯的均聚物或共聚物

C08L27/16 偏二氟乙烯的均聚物或共聚物

C08L27/18 四氟乙烯的均聚物或共聚物

C08L27/20 六氟丙烯的均聚物或共聚物

C08L27/22 用化学后处理改性的

C08L27/24 卤化的

