Title: 轧机机座结构；轧辊、轧辊座或机架的安装、调节或更换

Code: B21B31/00

========================================

B21B31/02 轧机机架；轧辊座

B21B31/04 有系杆的，如预应力系杆

B21B31/06 机座或机架与基础的连接，如与底板连接（一般的入F16M）

B21B31/07 轧辊轴承的采用（一般轴承入F16C）

B21B31/08 轧辊、轧辊座或机架的更换

B21B31/10 通过水平移位

B21B31/12 通过竖直移位

B21B31/14 通过旋转移位

B21B31/16 轧辊的调节（控制装置入B21B37/00）

B21B31/18 通过轴向移动轧辊

B21B31/20 通过垂直于轧辊轴的方向移动轧辊

B21B31/22 机械地

B21B31/24 用螺旋

B21B31/26 调节偏心装配的轧辊轴承

B21B31/28 用肘节杆机构

B21B31/30 用楔或其相当物件

B21B31/32 用液体压力

