Title: 纺织材料的检验

Code: D06H3/00

========================================

D06H3/02 目检（D06H3/12，D06H3/14，D06H3/16优先）

D06H3/04 材料由工作台支撑

D06H3/06 材料由圆筒支撑

D06H3/08 光电或电视法（D06H3/12，D06H3/14，D06H3/16优先）

D06H3/10 非光学设备（D06H3/12，D06H3/14，D06H3/16优先）

D06H3/12 机织物纬纱的探纬和自动纠错

D06H3/14 探测和除掉织物上的金属颗粒，如断针，断梳针等

D06H3/16 袜类或其他圆筒形织物的检验；与内侧外翻、分类或其他处理相关联的检验

