Title: 对各种不同类型电设备通用的结构零部件（机壳、箱柜或拉屉入H05K5/00）

Code: H05K7/00

========================================

H05K7/02 在支承结构上电路元件或布线的排列

H05K7/04 在导电机架上的

H05K7/06 在绝缘板上的

H05K7/08 在打孔板上的

H05K7/10 组件的插入式组装

H05K7/12 用于将元件固定到结构架上的弹性或夹持装置

H05K7/14 在外壳内或在框架上或在导轨上安装支承结构

H05K7/16 在铰链或枢轴上

H05K7/18 导轨或框架的结构

H05K7/20 便于冷却、通风或加热的改进

