Title: 共轭的，即二组分或多组分人造长丝或类似物； 其制造

Code: D01F8/00

========================================

D01F8/02 用纤维素、纤维素衍生物或蛋白质

D01F8/04 用合成聚合物

D01F8/06 至少有一种聚烯烃为其成分

D01F8/08 至少有一种聚丙烯腈为其成分

D01F8/10 仅包括碳—碳不饱和键反应而制得的至少一种其他高分子化合物为其成分

D01F8/12 至少有一种聚酰胺为其成分

D01F8/14 至少有一种聚酯为其成分

D01F8/16 除碳—碳不饱和键反应外的反应而制得的至少一种其他高分子化合物为其成分

D01F8/18 用其他物质

