Title: 单组分纤维素或纤维素衍生物的人造长丝或类似物；其制造方法

Code: D01F2/00

========================================

D01F2/02 采用在酸、碱或盐里的纤维素溶液

D01F2/04 铜氨溶液

D01F2/06 从粘胶

D01F2/08 纺丝液或纺丝浴的成分

D01F2/10 给纺丝液或纺丝浴添加物质，此物质对纺丝液和纺丝浴均起作用

D01F2/12 纺丝液加消光剂

D01F2/14 加颜料

D01F2/16 纺丝液加染料

D01F2/18 往纺丝液加入影响熟化的物质

D01F2/20 制造中空线

D01F2/22 干法

D01F2/24 采用纤维素衍生物

D01F2/26 硝化纤维素

D01F2/28 有机纤维素酯或醚，如醋酸纤维素

D01F2/30 干法

