Title: 蒸发（靠蒸发液体使固体材料或物体干燥入F26B）

Code: B01D1/00

========================================

B01D1/02 靠蛇形管加热的蒸发器

B01D1/04 水平管蒸发器

B01D1/06 竖管蒸发器

B01D1/08 带有短管的（B01D1/12优先）

B01D1/10 带有长管的，例如凯斯特纳蒸发器（B01D1/12优先）

B01D1/12 并具有强制循环

B01D1/14 以加热的气体或蒸气与液体接触

B01D1/16 用喷雾（B01D1/22优先）

B01D1/18 为获得干燥的固体（B01D1/24优先）

B01D1/20 喷雾器

B01D1/22 使一薄层液体与已加热的表面相接触

B01D1/24 为获得干燥的固体

B01D1/26 多效蒸发

B01D1/28 带有蒸气加压的

B01D1/30 蒸发器附件

