Title: 用于液态或气态流体的过滤材料

Code: B01D39/00

========================================

B01D39/02 疏松的过滤材料，例如，疏松的纤维

B01D39/04 有机材料，例如，纤维素、棉

B01D39/06 无机材料，例如，石棉纤维，玻璃珠或纤维

B01D39/08 滤布，即织成的、编织或交织的材料（金属的入B01D39/10）

B01D39/10 基本由金属制成的滤网

B01D39/12 金属丝网的；金属丝编织的；多孔金属网的

B01D39/14 其他自持式过滤材料

B01D39/16 有机材料的，例如，合成纤维

B01D39/18 纤维素或其派生的材料

B01D39/20 无机材料的，例如，石棉纸，非编织的金属丝的过滤材料

