Title: 仅有一个车轴带一个或多个运输轮的手推车；其所用设备

Code: B62B1/00

========================================

B62B1/02 其中车轮轴配置在负载与手柄之间的

B62B1/04 包含可调节、可折叠、可附接、可拆卸或可转换的部件

B62B1/06 包含将所载物锚定或固紧到适当位置的装置；装卸设备

B62B1/08 有装卸时用的辅助轮

B62B1/10 其中负载全部移到车轮上

B62B1/12 包含可调节、可折叠、可附接、可拆卸或可转换的部件

B62B1/14 包含将所载物锚定或固紧到适当位置的装置；装卸设备

B62B1/16 包含可倾卸安装的容器

B62B1/18 其中负载配置在车轮轴与手柄之间的，例如独轮小车

B62B1/20 包含可折叠、可附接、可拆卸或可转换的部件

B62B1/22 包含将所载物锚定或固紧到适当位置的装置；装卸设备

B62B1/24 包含可倾卸安装的容器

B62B1/26 以专门适用于一定形状物体的支架为特点的

