Title: 能连续运转的吸着式机器、装置或系统，如吸收式

Code: F25B15/00

========================================

F25B15/02 不用惰性气体（F25B15/12，F25B15/14，F25B15/16优先）

F25B15/04 从水溶液中气化氨作制冷剂的

F25B15/06 从盐溶液，例如溴化锂中气化水蒸气作制冷剂

F25B15/08 用硫酸作制冷剂的

F25B15/09 从氢化物中解吸出氢作为制冷剂

F25B15/10 用惰性气体的（F25B15/12，F25B15/14，F25B15/16优先）

F25B15/12 用再吸收器的（F25B15/14优先）

F25B15/14 利用渗透作用的

F25B15/16 利用解吸循环的

