Title: 利用毛细管作用的燃烧器

Code: F23D3/00

========================================

F23D3/02 灯芯式燃烧器

F23D3/04 火焰扩展器的（F23D3/12优先）

F23D3/06 倒置灯芯式燃烧器，例如用于照明

F23D3/08 以灯芯形状、结构或材料为特征的

F23D3/10 蓝焰燃烧器

F23D3/12 带有火焰扩展器的

F23D3/14 空气和燃料蒸气在火焰前面小室内混合的

F23D3/16 使用蜡烛的

F23D3/18 灯芯燃烧器的零部件

F23D3/20 火焰扩展器

F23D3/22 将蒸发燃料与空气混合的装置

F23D3/24 灯芯支承装置

F23D3/26 其上的安全装置

F23D3/28 灯芯调节装置

F23D3/30 直接与灯芯接合的

F23D3/32 与夹持灯芯的管子接合的

F23D3/34 灯芯止动装置；灯芯固定装置

F23D3/36 修剪灯芯的装置

F23D3/38 更换灯芯的装置

F23D3/40 在1个或多个刚性多孔体上产生毛细作用的

