Title: 杂环化合物，在稠环系中至少有1个杂环具有硫原子作为仅有的杂环原子

Code: C07D495/00

========================================

C07D495/02 在稠环系中含有两个杂环

C07D495/04 邻位稠合系

C07D495/06 迫位稠合系

C07D495/08 桥系

C07D495/10 螺稠合系

C07D495/12 在稠环系中含有3个杂环

C07D495/14 邻位稠合系

C07D495/16 迫位稠合系

C07D495/18 桥系

C07D495/20 螺稠合系

C07D495/22 在稠环系中含有4个或更多个杂环

