Title: 杂环化合物，在稠环系中至少有1个杂环具有氧原子和硫原子作为仅有的杂环原子

Code: C07D497/00

========================================

C07D497/02 在稠环系中含有两个杂环

C07D497/04 邻位稠合系

C07D497/06 迫位稠合系

C07D497/08 桥系

C07D497/10 螺稠合系

C07D497/12 在稠环系中含有3个杂环

C07D497/14 邻位稠合系

C07D497/16 迫位稠合系

C07D497/18 桥系

C07D497/20 螺稠合系

C07D497/22 在稠环系中含有4个或更多个杂环

