Title: 杂环化合物，含六元环、有1个氮原子作为惟一的杂环原子、C07D211/00至C07D219/00各 组内不包含的

Code: C07D221/00

========================================

C07D221/02 与碳环或碳环系稠合

C07D221/04 邻位或迫位稠合的环系

C07D221/06 三环环系

C07D221/08 氮杂蒽

C07D221/10 氮杂菲

C07D221/12 菲啶

C07D221/14 氮杂菲那烯，例如，1,8-萘二甲酰亚胺

C07D221/16 含非六元的碳环

C07D221/18 四环或更多环的环系

C07D221/20 螺稠合的环系

C07D221/22 桥接的环系

C07D221/24 茨非啶

C07D221/26 苯并吗吩烷

C07D221/28 吗啡喃

