Title: 杂环化合物，含三元环、带1个氮原子作为惟一的杂环原子

Code: C07D203/00

========================================

C07D203/02 通过闭环制备

C07D203/04 不与其他环稠合

C07D203/06 环原子间或环原子与非环原子间无双键

C07D203/08 只有氢原子、烃基或取代的烃基，直接连在环氮原子上

C07D203/10 被单键连接的氧原子所取代的基

C07D203/12 被非硝基的氮原子取代的基

C07D203/14 有碳环直接连在环氮原子上

C07D203/16 有酰化的环氮原子

C07D203/18 用羧酸，或用它们的硫或氮的类似物

C07D203/20 用碳酸或用它的硫或氮的类似物，例如氨基甲酸酯

C07D203/22 有杂原子直接连在环氮原子上

C07D203/24 硫原子

C07D203/26 与碳环或碳环系稠合

