Title: 杂环化合物，在稠环系中含有氧原子作为仅有的杂环原子

Code: C07D493/00

========================================

C07D493/02 在稠环系中含有两个杂环

C07D493/04 邻位稠合系

C07D493/06 迫位稠合系

C07D493/08 桥系

C07D493/10 螺稠合系

C07D493/12 在稠环系中含有3个杂环

C07D493/14 邻位稠合系

C07D493/16 迫位稠合系

C07D493/18 桥系

C07D493/20 螺稠合系

C07D493/22 稠合环系中含有4个或更多个杂环

