Title: 在稠环系中含有氮原子作为仅有的杂环原子的杂环化合物，不包含在C07D451/00至 C07D477/00组中

Code: C07D487/00

========================================

C07D487/02 在稠合系中含有两个杂环

C07D487/04 邻位稠合系

C07D487/06 迫位稠合系

C07D487/08 桥系

C07D487/10 螺稠合系

C07D487/12 稠合系中含有3个杂环

C07D487/14 邻位稠合系

C07D487/16 迫位稠合系

C07D487/18 桥系

C07D487/20 螺稠合系

C07D487/22 稠环系中含有4个或更多个杂环

