Title: 杂环化合物，在稠环系中含有1个或多个有氧原子作为仅有的杂环原子的环，且含有1个 或多个有氮原子作为仅有的杂环原子的环，不包含在C07D451/00至C07D459/00、 C07D463/00、C07D477/00或C07D489/00组中

Code: C07D491/00

========================================

C07D491/02 在稠环系中含有两个杂环

C07D491/04 邻位稠合系

C07D491/06 迫位稠合系

C07D491/08 桥系

C07D491/10 螺稠合系

C07D491/12 在稠环系中含有3个杂环

C07D491/14 邻位稠合系

C07D491/16 迫位稠合系

C07D491/18 桥系

C07D491/20 螺稠合系

C07D491/22 在稠环系中含有4个或更多个杂环

