Title: 用流体压力进行填料密封的连接

Code: F16L17/00

========================================

F16L17/02 管子的外表面和管套或管座的内表面之间带有密封环的

F16L17/025 有径向肋的密封环

F16L17/03 具有环形轴向凸缘

F16L17/035 有两个互相平行凸缘的密封环

F16L17/04 带有纵向分裂或分开的套

F16L17/06 在管子或法兰端面之间或者管头或法兰凹槽内装置密封环

F16L17/067 塑料密封环

F16L17/073 密封环有两个互相平行的唇部

F16L17/08 金属密封环

F16L17/10 通过除管内或环绕管子的流体之外的流体的压力进行填料密封

