Title: 不包含在F16L13/00至F16L23/00各组中的管接头结构型式（可调节或允许移动的连接入 F16L27/00；带截流装置的入F16L29/00；快速型连接入F16L37/00；用于双壁或多通路 管子入F16L39/00；专门适用于塑料制成的或与塑料制成的管一起用的连接装置或其他 配件入F16L47/00；专用于脆性材料管入F16L49/00）

Code: F16L25/00

========================================

F16L25/01 专用于在接头的两管端或两部件之间实现电传导

F16L25/02 专用于接头两管端互相电绝缘

F16L25/03 在不可断开的管接头内

F16L25/04 包括带有刚性螺纹销的卡环，该销带有管环绕件

F16L25/06 包括径向锁紧装置

F16L25/08 以螺栓、钉或类似形式

F16L25/10 两管之间的无套连接，一个进入另一个内

F16L25/12 用于轴向相隔的管子的连接

F16L25/14 用于不同直径或截面的管子的连接

