Title: 机器或发动机的控制、监测或安全装置

Code: F01C20/00

========================================

F01C20/02 专门适用于多台串联或并联连接的机器或发动机的

F01C20/04 专门适用于可逆式机器或发动机的

F01C20/06 专门适用于停止、起动、怠速或空载操作的

F01C20/08 以改变转速为特征的

F01C20/10 以改变进口孔或出口孔相对于工作室的位置为特征的

F01C20/12 使用滑阀的

F01C20/14 使用转阀的

F01C20/16 使用升阀的

F01C20/18 以改变工作室的容积为特征的（通过改变进口孔或出口孔位置的入F01C20/10）

F01C20/20 通过改变工作室的内部或外部轮廓形状的

F01C20/22 通过改变配合元件之间偏心度的

F01C20/24 以使用控制压力或流量阀为特征的，如排放阀（F01C20/10优先）

F01C20/26 使用旁路通道的

F01C20/28 安全装置；监测

