Title: 超导器件（集成器件或多个器件的组装件H10N69/00）

Code: H10N60/00

========================================

H10N60/01 制造或处理

H10N60/10 基于结的器件

H10N60/12 约瑟夫森效应器件

H10N60/20 永久超导器件

H10N60/30 可在超导和正常状态之间切换的器件

H10N60/35 冷子

H10N60/355 功率冷子

H10N60/80 结构零部件

H10N60/81 容器；安装

H10N60/82 电流通路

H10N60/83 元件形状

H10N60/84 可在超导和正常状态之间切换的器件的切换方法

H10N60/85 超导活性材料

