Title: 头发固发装置；及其附件

Code: A45D8/00

========================================

A45D8/02 发针

A45D8/04 单枝的

A45D8/06 双枝的，如U形的

A45D8/08 带锯齿形枝的

A45D8/10 带齿的

A45D8/12 高梳或装饰梳

A45D8/14 发夹，即弹性整件双翼夹

A45D8/16 带附加固定器

A45D8/18 开夹器；夹盒

A45D8/20 发钳，即弹性多部件钳，各部件端部之间用枢轴连接

A45D8/22 带附加固定器

A45D8/24 发扣，即多部件发扣，各部件在其端部用枢轴连接

A45D8/26 带按扣

A45D8/28 带其他固定器

A45D8/30 带梳子状叉子

A45D8/32 带双弓；带U形翼

A45D8/34 发辫夹；编辫夹

A45D8/36 发带；发环

A45D8/38 束发带，如金属线栅

A45D8/40 发网；头发保护帽 清洁头发或头皮、干燥头发或染发的装置

