Title: 用于加热卷发器或烫发器的单独装置（不与卷发器或烫发器相连的头 发干燥装置入A45D20/00）

Code: A45D4/00

========================================

A45D4/02 立式卷曲用，如带有减少热的装置（A45D4/14，A45D4/16优先）

A45D4/04 由蒸汽或热空气加热的

A45D4/06 由电加热的

A45D4/08 平式卷曲用的，如带有使热减少的装置（A45D4/14，A45D4/16优先）

A45D4/10 由蒸汽或热空气加热的

A45D4/12 由电加热的

A45D4/14 带化学热反应和贮热的

A45D4/16 使用前以加热卷发或烫发工具为特征的独立装置（A45D1/20优先）

A45D4/18 使用时加热卷发或烫发工具的器件支架或悬挂装置

