Title: 卷发夹，即热用夹；卷发钳，即热用钳；及其附件

Code: A45D1/00

========================================

A45D1/02 带内加热装置，例如用液体燃料

A45D1/04 用电

A45D1/06 带两个或多个夹片（A45D1/02优先）

A45D1/08 使用时夹片彼此保持平行，例如夹片彼此平行滑动

A45D1/10 带可旋转的柄套

A45D1/12 螺旋形或锯齿形

A45D1/14 夹片是彼此可分离的

A45D1/16 带单个加热元件（A45D1/02优先）

A45D1/18 带梳子（A45D1/02优先）

A45D1/20 卷发夹或卷发钳用的外加热装置

A45D1/28 带温度控制或指示装置

