Title: 用高分子材料，如树脂、橡胶或其衍生物覆盖纤维网而制得的人造革、油布或类似物品

Code: D06N3/00

========================================

D06N3/02 用纤维素衍生物

D06N3/04 用仅涉及碳—碳不饱和键的反应而制得的高分子化合物

D06N3/06 用聚氯乙烯或其共聚产品

D06N3/08 用含聚丙烯酸酯，聚酰胺或聚氨基甲酸乙酯作整理涂层

D06N3/10 用苯乙烯—丁二烯共聚产物

D06N3/12 用仅涉及碳—碳不饱和键反应以外的反应制得的高分子化合物

D06N3/14 与聚氨基甲酸乙酯

D06N3/16 用油漆

D06N3/18 用两层不同的高分子原料（D06N3/08优先）

