Title: 通过对空气或燃料—空气混合气进、排气管进行节流的发动机控制

Code: F02D9/00

========================================

F02D9/02 关于进气管（节流阀或其在进气管内的设置入F02D9/08）

F02D9/04 关于排气管（节流阀或其在排气管上的安装入F02D9/08）

F02D9/06 排气制动

F02D9/08 专用的节流阀；该阀在管道内的设置

F02D9/10 具有枢轴支承安装的阀瓣

F02D9/12 具有可滑动安装的阀件；具有可沿导管纵向移动的阀件

F02D9/14 阀件可沿导管横向滑动

F02D9/16 阀件是可旋转的

F02D9/18 具有弹性壁的阀件

