Title: 应用充填可燃材料的光源，例如照明闪光装置

Code: F21K5/00

========================================

F21K5/04 多种充填物，例如与相继点燃有关的（F21K5/06，F21K5/12优先）

F21K5/06 充填物容器

F21K5/08 充填物装在非爆破容器中的，例如闪光泡

F21K5/10 带有镀层的

F21K5/12 充填物点燃装置

F21K5/14 敲击式的

F21K5/16 电的（电路装置入H05B46/00）

F21K5/18 电点燃的发火极

F21K5/20 充填物供给装置

F21K5/22 防护性光护罩

