Title: 担架

Code: A61G1/00

========================================

A61G1/003 带有托起病人或残疾人装置的，如可松开式或用环带的

A61G1/007 带有雪撬或滑板滑行装置的

A61G1/01 专用作担架或以担架方式使用的被单

A61G1/013 可弯曲或折叠的（A61G1/017优先）

A61G1/017 可变换成椅子的

A61G1/02 带轮子的

A61G1/04 担架的部件、零件或配件，如专门适用于担架的头、底脚等的支托

A61G1/044 索、条或带

A61G1/048 把手

A61G1/052 支柱、梁或脚

A61G1/056 旋转脚

A61G1/06 担架支架，如放在车辆上或车辆中的

