Title: 以多于一个发动机向装置外部传送功率为特点的装置，发动机由不同的流体驱动

Code: F01K23/00

========================================

F01K23/02 这些发动机的循环是热连接的

F01K23/04 来自一个循环中的冷凝热加热另一个循环中的流体

F01K23/06 来自一个循环中放出的燃烧热加热另一个循环中的流体

F01K23/08 用一个循环中的工作流体加热另一个循环中的流体

F01K23/10 用一个循环排出的流体加热另一个循环的流体

F01K23/12 发动机的机械连接（F01K23/02优先）

F01K23/14 至少包括一个燃烧发动机

F01K23/16 全部发动机是涡轮机（F01K23/14优先）

F01K23/18 以适合于特殊用途为特点的

