Title: 牵引装置

Code: B61G9/00

========================================

B61G9/02 与非整体缓冲器联合作用或作用在同一弹簧上的牵引装置

B61G9/04 与缓冲器组合的牵引装置（连续的入B61G9/12）

B61G9/06 用橡胶弹簧的

B61G9/08 用流体弹簧或流体减震器；其组合装置

B61G9/10 用独立的机械摩擦减震器的

B61G9/12 与缓冲器组合的连续牵引装置，例如，在中心梁里连接

B61G9/14 用橡胶弹簧的

B61G9/16 用流体弹簧或流体减震器的；其组合装置

B61G9/18 用独立的机械摩擦减震器的

B61G9/20 零件；附件

B61G9/22 支承构架；如吊架；弹簧盒

B61G9/24 牵引杆与构架之间的连接杆（可调的连接杆入B61G7/12）

