Title: 胶体化学，例如，其他类目中不包括的胶体物料或其溶液的制备；微胶囊或微球的 制造

Code: B01J13/00

========================================

B01J13/02 微胶囊或微球的制造

B01J13/04 通过物理过程，例如，干燥、雾化

B01J13/06 通过相分离

B01J13/08 简单凝聚，即添加高亲水材料

B01J13/10 复合凝聚，即通过带相反电荷的颗粒间的相互作用

B01J13/12 从成壁材料溶液中除去溶剂

B01J13/14 聚合，交联

B01J13/16 界面聚合

B01J13/18 原位聚合，所有的反应物均在同一相中

B01J13/20 胶囊壁的后处理，例如，硬化

B01J13/22 涂覆

