Title: 制备催化剂之一般方法；催化剂活化的一般方法

Code: B01J37/00

========================================

B01J37/02 浸渍，涂层或沉淀（涂层保护入B01J33/00）

B01J37/025 用不同的中间层，如基质—载体—活性层

B01J37/03 沉淀；共沉淀

B01J37/04 混合

B01J37/06 冲洗

B01J37/08 热处理

B01J37/10 在水（例如蒸汽）存在下

B01J37/12 氧化

B01J37/14 用含游离氧的气体

B01J37/16 还原

B01J37/18 用含游离氢的气体

B01J37/20 硫化

B01J37/22 卤化

B01J37/24 氯化

B01J37/26 氟化

B01J37/28 磷化

B01J37/30 离子交换

B01J37/32 冻干，即冷冻脱水

B01J37/34 利用辐射，或利用电能、磁能或波能，例如超声波

B01J37/36 生物化学方法

