Title: 制造含有金属或非金属纤维或细丝的合金

Code: C22C47/00

========================================

C22C47/02 纤维或细丝的预处理

C22C47/04 通过涂覆，例如带有保护或活性涂层

C22C47/06 通过把纤维或细丝形成预成型结构，例如利用临时黏合剂形成垫状元件

C22C47/08 通过把纤维或细丝与熔融金属接触，例如把纤维或细丝置于铸型中浸渗

C22C47/10 在反应性环境中浸渗；反应浸渗

C22C47/12 在机械压力下浸渗或铸造

C22C47/14 通过粉末冶金，即通过加工金属粉末与纤维或细丝的混合物

C22C47/16 通过金属的热喷射，例如等离子喷射

C22C47/18 使用纤维或细丝的预成型结构

C22C47/20 通过对由至少一个金属层或片与一层纤维或细丝构成的组件加压和加热

