Title: 以碳化物、氧化物、硼化物、氮化物或硅化物（例如金属陶瓷）或其他金属化合物（例 如氮氧化合物、硫化物）为基的合金

Code: C22C29/00

========================================

C22C29/02 以碳化物或碳氮化物为基的

C22C29/04 以碳氮化物为基的

C22C29/06 以碳化物为基的，但是不含其他金属化合物的

C22C29/08 以碳化钨为基的

C22C29/10 以碳化钛为基的

C22C29/12 以氧化物为基的

C22C29/14 以硼化物为基的

C22C29/16 以氮化物为基的

C22C29/18 以硅化物为基的

