Title: 其他类目不包含的改进船只安全性，例如破损控制

Code: B63B43/00

========================================

B63B43/02 减少倾覆或沉没的危险（利用舱壁上的水密门入B63B43/24）

B63B43/04 通过改进稳定性

B63B43/06 使用压载水柜

B63B43/08 通过移动固体压载物

B63B43/10 通过改进浮力

B63B43/12 使用船内空气容器

B63B43/14 使用舷外浮动构件

B63B43/16 应急堵漏装置，例如堵漏毡

B63B43/18 防碰撞；减少碰撞损伤

B63B43/20 量隙规

B63B43/24 舱壁水密门的布置

B63B43/26 滑动式的

B63B43/28 用机械驱动的

B63B43/30 用流体驱动的

B63B43/32 非滑动式的

