Title: 其他类目不包含的船员或乘客居住舱

Code: B63B29/00

========================================

B63B29/02 舱室或其他起居空间；其结构或布置

B63B29/04 专门适用于船的家具

B63B29/06 紧固在地板上

B63B29/08 桌上防风暴装置，例如防滑落桌面框架

B63B29/10 床铺；其所用梯子的安装

B63B29/12 自动找平装置

B63B29/14 盥洗室或类似的冲洗装置；船用洗涤或洗澡设备

B63B29/16 污水排出装置

B63B29/18 游泳池的布置或配备

B63B29/20 梯子的布置或配备（床铺梯子的安装入B63B29/10）

B63B29/22 船用厨房

