Title: 以其非金属材料结构为特点的船体

Code: B63B5/00

========================================

B63B5/02 主要由木材制成的

B63B5/04 骨架

B63B5/06 甲板；船壳

B63B5/08 有单层船壳板的

B63B5/10 有多层船壳板的

B63B5/12 主要由带有金属增强的，即复合结构的木材制成

B63B5/14 主要由混凝土，例如钢筋混凝土制造

B63B5/16 整体式的

B63B5/18 由部件装配的

B63B5/20 与其他材料的部件结合的

B63B5/22 船壳外部有增强部件的

B63B5/24 主要由塑料制造

