Title: 转辙器；交叉(操作机械入B61L）

Code: E01B7/00

========================================

E01B7/02 尖轨；与之有关的结构

E01B7/04 围绕末端竖轴旋转的尖轨的结构

E01B7/06 柔性尖轨或柔性鱼尾板的结构

E01B7/08 其他尖轨的结构，例如，倾斜于与钢轨相平行的轴的结构，活动式尖轨或尖轨块体

E01B7/10 辙叉

E01B7/12 用单一或复合部件制的固定式辙叉

E01B7/14 有活动构件的辙叉

E01B7/16 突变辙叉

E01B7/18 转辙器和交叉的组合

E01B7/20 转辙器的安全设备，例如，辙尖防护器、辅助或导轨部件

E01B7/22 转辙器或交叉用的特殊轨枕；其固定设备

E01B7/24 转辙器的加热

E01B7/26 转辙器的润滑（钢轨润滑入B61K3/00）

E01B7/28 交叉

E01B7/30 突变交叉

