Title: 非专用于特定变量的测量装置的组件（G01D13/00，G01D15/00优先）

Code: G01D11/00

========================================

G01D11/02 可动部件的轴承或悬挂

G01D11/04 刀刃式轴承

G01D11/06 悬带或悬丝，如处在拉力状态下的

G01D11/08 平衡运动部件的元件

G01D11/10 阻尼部件运动的元件

G01D11/12 应用流体阻尼

G01D11/14 应用磁感应阻尼

G01D11/16 限制或防止部件运动的元件，如调零点用的（可动部件不使用时的锁定入G01D11/20）

G01D11/18 弹簧（G01D11/06优先）

G01D11/20 可动部件不使用时的锁定装置

G01D11/22 自动操作的

G01D11/24 外壳

G01D11/26 窗口；玻璃罩盖；其密封

G01D11/28 与仪表结构相结合的照明装置

G01D11/30 专门适用于一台仪器的支架；专门适用于一组仪器的支架

