Title: 给出变量的非瞬时值结果的通用测量装置（G01D3/00优先；在计费设备中的入 G01D4/00；非专用于特定变量的变换器入G01D5/00）

Code: G01D1/00

========================================

G01D1/02 给出平均值，如均方根值（测量电流或电压的均方根值入G01R19/02）

G01D1/04 给出积分值（给出平均值入G01D1/02）

G01D1/06 采用间断累加法

G01D1/08 在固定的时间期间内

G01D1/10 给出微分值

G01D1/12 给出一个量的最大值或最小值

G01D1/14 给出数值的分布函数，即该数值在特定的幅值范围内出现的次数

G01D1/16 给出两个或两个以上量的函数值，如乘积或比率；

G01D1/18 对非指定参量超过预定值发出信号的装置（G01D1/14优先）

