Title: 牵引马具；与B68B1/00组内提到的装置相结合的牵引马具

Code: B68B3/00

========================================

B68B3/02 轭

B68B3/04 马颈圈；及其制造

B68B3/06 可调节的颈圈

B68B3/08 备有保护垫的

B68B3/10 充气颈圈

B68B3/12 其所用轭锁

B68B3/14 胸部围圈

B68B3/16 兜住马屁股连于马鞍后部的皮带

B68B3/18 尻带

B68B3/20 挽绳（皮带的制作入C14B，绳的制作入D07）

B68B3/22 挽绳托（构成车辆一个组成部分的装置入B62C）

