Title: 程序控制的缝纫机（带有自动控制衣片托架运动的装置的入D05B21/00）（当缝纫工具 到达预定位置后停止驱动的装置的入D05B69/22）

Code: D05B19/00

========================================

D05B19/02 具有电子存储器或微处理器控制单元的缝纫机

D05B19/04 以存储状态为特征的

D05B19/06 存储器的物理转换

D05B19/08 用于将针迹数据或图案数据输入存储器的装置

D05B19/10 用于从存储器中选择针迹数据或图案数据的组合的装置

D05B19/12 以控制机器运转为特征的

D05B19/14 控制机针的运动，如改变机针运动的振幅或周期

D05B19/16 控制衣片的运动，如调整送布牙的移动

