Title: 缝纫机用送布机构

Code: D05B27/00

========================================

D05B27/02 带有能作上下和水平运动的送布牙

D05B27/04 安排在衣片上面

D05B27/06 安排在衣片上下

D05B27/08 带差动送布装置

D05B27/10 带旋转式送布构件

D05B27/12 连续旋转

D05B27/14 断续旋转

D05B27/16 带差动送布装置

D05B27/18 送布辊

D05B27/20 由缝纫针构成

D05B27/22 带有设定针迹长度的机构

D05B27/24 送布牙抬落装置

D05B27/26 皮革缝纫机中

