Title: 带针横动或衣片横动或两者均横动的机构，用于制作装饰图案、缝、锁扣眼、加固开口 处或缀纽扣等的缝纫装置或机械（程控缝纫机入D05B19/00）（带自动控制送布移动的 装置入D05B21/00）

Code: D05B3/00

========================================

D05B3/02 带针床控制

D05B3/04 带送布控制

D05B3/06 锁扣眼的（扣眼入A41F1/02）

D05B3/08 锁带孔边扣眼的

D05B3/10 制作滚边开口的

D05B3/12 缝制扣紧件的

D05B3/14 穿孔扣或按扣

D05B3/16 有脚纽扣

D05B3/18 挂钩或纽孔

D05B3/20 标签（不用缝纫法缀标签入B65C5/00；标签和紧固方式一般入G09F3/00）

D05B3/22 喂扣机构

D05B3/24 一般用途的缝纫机通过附加装置例如可以拆卸的装置形成的

