Title: 缝纫机用套圈机构，如打环装置

Code: D05B57/00

========================================

D05B57/02 链式线迹缝纫机用，如振荡式

D05B57/04 旋转式

D05B57/06 包边线迹缝纫机用

D05B57/08 锁式线迹缝纫机用

D05B57/10 梭

D05B57/12 摆动式

D05B57/14 带旋转钩

D05B57/16 带滑轨式梭心套

D05B57/18 带活动帽梭心套

D05B57/20 带磁力梭心套

D05B57/22 带下线筒子

D05B57/24 带有下线筒子控制滑动

D05B57/26 梭心座或梭心壳；梭心座或壳体的导杆，卸下梭心的装置

D05B57/28 使用梭心存储下线

D05B57/30 套圈机构的传动齿轮

D05B57/32 链式线迹缝纫机

D05B57/34 包边线迹缝纫机

D05B57/36 锁式线迹缝纫机

D05B57/38 梭心驱动器

