Title: 浮选

Code: B03D1/00

========================================

B03D1/001 浮选药剂〔5〕

B03D1/002 无机化合物

B03D1/004 有机化合物

B03D1/006 烃

B03D1/008 含氧的

B03D1/01 含氮的

B03D1/012 含硫的

B03D1/014 含磷的

B03D1/016 大分子化合物

B03D1/018 无机化合物与有机化合物的混合物

B03D1/02 泡沫选法

B03D1/04 用改变环境气压

B03D1/06 分异的

B03D1/08 析出产品的再处理

B03D1/10 从分离出的物料中除去黏附液体

B03D1/12 试剂回收

B03D1/14 浮选机械（装入已称量的试剂的设备入B01J4/02）

B03D1/16 有叶轮的；底吹机

B03D1/18 不供气的

B03D1/20 有内部气泵的

B03D1/22 有外部鼓风机的

B03D1/24 气动的

B03D1/26 空气提升机

